company,category,quality,score,validation_score,location,reviews,employees,emp_count,email,website,scraped_at
Ai Developers Company 1,Ai Developers,Medium,71,71,"Delhi, India",60,1000-5000,810,info@ai-developers1.com,https://www.ai-developers1.com,2026-03-06 07:11:29
Ai Developers Company 2,Ai Developers,Medium,78,78,"Mumbai, India",440,10-49,4889,info@ai-developers2.com,https://www.ai-developers2.com,2026-03-06 07:11:29
Ai Developers Company 3,Ai Developers,Premium,90,90,"Delhi, India",75,1000-5000,346,info@ai-developers3.com,https://www.ai-developers3.com,2026-03-06 07:11:29
Ai Developers Company 4,Ai Developers,High,83,83,"Delhi, India",246,1000-5000,342,info@ai-developers4.com,https://www.ai-developers4.com,2026-03-06 07:11:29
Ai Developers Company 5,Ai Developers,Premium,93,93,"Hyderabad, India",248,1000-5000,678,info@ai-developers5.com,https://www.ai-developers5.com,2026-03-06 07:11:29
Ai Developers Company 6,Ai Developers,Low,68,68,"Pune, India",409,50-249,2458,info@ai-developers6.com,https://www.ai-developers6.com,2026-03-06 07:11:29
Ai Developers Company 7,Ai Developers,Premium,93,93,"Delhi, India",487,50-249,2865,info@ai-developers7.com,https://www.ai-developers7.com,2026-03-06 07:11:29
Ai Developers Company 8,Ai Developers,High,84,84,"Pune, India",403,1000-5000,1376,info@ai-developers8.com,https://www.ai-developers8.com,2026-03-06 07:11:29
Ai Developers Company 9,Ai Developers,High,82,82,"Delhi, India",89,10-49,2920,info@ai-developers9.com,https://www.ai-developers9.com,2026-03-06 07:11:29
Ai Developers Company 10,Ai Developers,Premium,97,97,"Mumbai, India",426,1000-5000,4240,info@ai-developers10.com,https://www.ai-developers10.com,2026-03-06 07:11:29
Ai Developers Company 11,Ai Developers,Medium,78,78,"Mumbai, India",476,10-49,171,info@ai-developers11.com,https://www.ai-developers11.com,2026-03-06 07:11:29
Ai Developers Company 12,Ai Developers,Medium,78,78,"Bangalore, India",305,50-249,4475,info@ai-developers12.com,https://www.ai-developers12.com,2026-03-06 07:11:29
Ai Developers Company 13,Ai Developers,Medium,79,79,"Delhi, India",276,50-249,1553,info@ai-developers13.com,https://www.ai-developers13.com,2026-03-06 07:11:29
Ai Developers Company 14,Ai Developers,High,84,84,"Pune, India",34,250-999,3061,info@ai-developers14.com,https://www.ai-developers14.com,2026-03-06 07:11:29
Ai Developers Company 15,Ai Developers,Medium,70,70,"Chennai, India",296,10-49,1446,info@ai-developers15.com,https://www.ai-developers15.com,2026-03-06 07:11:29
Ai Developers Company 16,Ai Developers,High,86,86,"Bangalore, India",135,250-999,664,info@ai-developers16.com,https://www.ai-developers16.com,2026-03-06 07:11:29
Ai Developers Company 17,Ai Developers,Medium,78,78,"Hyderabad, India",338,1000-5000,3513,info@ai-developers17.com,https://www.ai-developers17.com,2026-03-06 07:11:29
Ai Developers Company 18,Ai Developers,High,80,80,"Chennai, India",87,1000-5000,4306,info@ai-developers18.com,https://www.ai-developers18.com,2026-03-06 07:11:29
Ai Developers Company 19,Ai Developers,High,86,86,"Delhi, India",105,250-999,4162,info@ai-developers19.com,https://www.ai-developers19.com,2026-03-06 07:11:29
Ai Developers Company 20,Ai Developers,Medium,70,70,"Delhi, India",51,1000-5000,482,info@ai-developers20.com,https://www.ai-developers20.com,2026-03-06 07:11:29
Ai Developers Company 21,Ai Developers,Medium,71,71,"Pune, India",488,10-49,2700,info@ai-developers21.com,https://www.ai-developers21.com,2026-03-06 07:11:29
Ai Developers Company 22,Ai Developers,Medium,76,76,"Pune, India",105,250-999,2695,info@ai-developers22.com,https://www.ai-developers22.com,2026-03-06 07:11:29
Ai Developers Company 23,Ai Developers,Premium,90,90,"Chennai, India",439,10-49,2284,info@ai-developers23.com,https://www.ai-developers23.com,2026-03-06 07:11:29
Ai Developers Company 24,Ai Developers,Low,69,69,"Pune, India",360,1000-5000,757,info@ai-developers24.com,https://www.ai-developers24.com,2026-03-06 07:11:29
Ai Developers Company 25,Ai Developers,High,83,83,"Delhi, India",295,10-49,1316,info@ai-developers25.com,https://www.ai-developers25.com,2026-03-06 07:11:29
